"id","codigo","tipo","fuente","altitud","latitud","longitud","ubicacion","database","table","codigo_ideam","categoria_ideam","emails","activo","municipio_id","nivel_subsiguiente_id","nivel_subsiguiente_2_id","territorial_id","umbral","localizacion"
264,"5",8,"",1300,5.9628809,-75.7342130,Alcaldia municipal,"",p_5,,"",{},false,75,19,99,6,1,POINT (-75.734213 5.9628809)
127,"1029",2,Río Cartama,636,5.7582930,-75.6410000,"",nivel,n_1029,,"",{instrumentacionpiragua@udea.edu.com},false,46,13,65,6,10,POINT (-75.641 5.758293)
114,"1016",2,Quebrada Sinifaná,612,5.9976670,-75.8120000,"",mauricioTesting,n_1016_analog,,"",{},false,75,16,102,6,10,POINT (-75.812 5.997667)
150,"2101",3,Río Cauca,2313,5.7991667,-75.7895278,Jericó,mauricioTesting,p_2101_rain,26185030,CP,{apoyogestioninformacion4piragua@udea.edu.co},false,44,13,63,6,6,POINT (-75.7895278 5.7991667)
158,"2109",3,Río Tonusco,534,6.5339167,-75.8273333,Hacienda Cotové,mauricioTesting,p_2109_rain,26225060,AM,{apoyogestioninformacion1piragua@udea.edu.co},false,8,19,138,1,6,POINT (-75.8273333 6.5339167)
149,"2100",3,Río Chico,3221,6.6320278,-75.6444444,PMO Belmira,mauricioTesting,p_2100_rain,27015280,CP,{},false,33,25,391,3,6,POINT (-75.6444444 6.6320278)
151,"2102",3,Río Cauca,1870,5.7307222,-75.6081111,La Pintada,mauricioTesting,p_2102_rain,26180270,PG,{apoyogestioninformacion4piragua@udea.edu.co},false,46,13,68,6,6,POINT (-75.6081111 5.7307222)
152,"2103",3,Quebrada San Lucas,980,6.5716389,-74.7947222,Maceo,mauricioTesting,p_2103_rain,23105070,CP,{},false,48,6,32,2,6,POINT (-74.7947222 6.5716389)
153,"2104",3,Río Medellín,1952,6.2863333,-75.6127917,Pajarito,mauricioTesting,p_2104_rain,27015290,CP,{apoyogestioninformacion3piragua@udea.edu.co},false,1,34,255,8,6,POINT (-75.6127917 6.2863333)
159,"2110",3,Río Grande,2600,6.7810833,-75.5608888,Aragon,mauricioTesting,p_2110_rain,27015320,AM,{},false,64,25,393,3,6,POINT (-75.5608888 6.7810833)
147,"2008",4,Río Magdalena,111,6.4851389,-74.4011667,Puerto Berrío,mauricioTesting,n_2008_analog,23097030,LG,{},false,52,7,38,2,8,POINT (-74.4011667 6.4851389)
132,"1036",2,Caño Mandinga,1,8.0599700,-74.7922470,"",mauricioTesting,n_1036_analog,,"",{umbralespiragua@gmail.com},false,49,23,176,7,10,POINT (-74.792247 8.05997)
133,"1037",2,Quebrada Noa,1,7.5978000,-75.3408000,"",mauricioTesting,n_1037_analog,,"",{umbralespiragua@gmail.com},false,19,21,160,7,10,POINT (-75.3408 7.5978)
263,"34",8,"",1440,6.2068610,-75.7336390,Alcaldia Heliconia,"",p_34,,"","{apoyogestioninformacion2piragua@udea.edu.co,apoyogestioninformacion5piragua@udea.edu.co,umbralesgipiragua@gmail.com,ngrajales@corantioquia.gov.co,ihernandez@corantioquia.gov.co,jorge_baquero@corantioquia.gov.co,daniel_garcia@corantioquia.gov.co,Practicante.ecosis@corantioquia.gov.co,apoyogestioninformacion6piragua@udea.edu.co,angela.duque@antioquia.gov.co,gestioninformacionpiragua@udea.edu.co,laura_sierra@corantioquia.gov.co}",false,39,16,,4,1,POINT (-75.733639 6.206861)
154,"2105",3,Río Medellín,1591,6.2532778,-75.5500000,Villanueva Villahermosa,mauricioTesting,p_2105_rain,27015300,CP,{},false,1,34,315,8,6,POINT (-75.55 6.2532778)
155,"2106",3,Río Medellín,1440,6.3297500,-75.5521111,Metro Medellín,mauricioTesting,p_2106_rain,27015310,CP,{},false,13,34,242,8,6,POINT (-75.5521111 6.32975)
161,"2112",3,Quebrada Valdivia,1132,7.1572778,-75.4422222,"Santa Isabel, Valdivia",mauricioTesting,p_2112_rain,26255030,AM,{apoyogestioninformacion1piragua@udea.edu.co},false,72,23,177,7,6,POINT (-75.4422222 7.1572778)
156,"2107",3,Río Medellín,1490,6.2206111,-75.5889806,Aeropuerto Olaya Herrera,mauricioTesting,p_2107_rain,27015330,SP,{},false,1,34,258,8,6,POINT (-75.5889806 6.2206111)
157,"2108",3,Río Arma,1680,5.8595833,-75.5562778,Santa Bárbara,mauricioTesting,p_2108_rain,26185050,CP,{apoyogestioninformacion4piragua@udea.edu.co},false,63,14,76,6,6,POINT (-75.5562778 5.8595833)
160,"2111",3,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,mauricioTesting,p_2111_rain,26230260,PG,{apoyogestioninformacion1piragua@udea.edu.co},false,72,18,112,7,6,POINT (-75.3963056 7.2870833)
162,"2113",3,Río Volcan,990,6.7741111,-74.7965278,Vegachí,mauricioTesting,p_2113_rain,23105060,AM,{},false,74,7,37,2,6,POINT (-74.7965278 6.7741111)
140,"2001",4,Río Cauca,49,7.9621389,-75.1960000,La coquera,mauricioTesting,n_2001_analog,26247020,LG,{},false,26,12,54,7,8,POINT (-75.196 7.9621389)
142,"2003",4,Río Nechí,33,8.0301111,-74.7855556,"La esperanza, Nechí",mauricioTesting,n_2003_analog,27037010,LG,{},false,49,31,434,7,8,POINT (-74.7855556 8.0301111)
143,"2004",4,Río Tarazá,110,7.5825278,-75.4200556,Las Camelias,mauricioTesting,n_2004_analog,26247050,LG,{},false,68,21,162,7,8,POINT (-75.4200556 7.5825278)
144,"2005",4,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,mauricioTesting,n_2005_analog,26237040,LG,{},false,72,18,112,7,8,POINT (-75.3963056 7.2870833)
145,"2006",4,Río Cauca,1750,5.9659444,-75.8414722,Bolombolo,mauricioTesting,n_2006_analog,26207080,LG,{},false,75,16,101,6,8,POINT (-75.8414722 5.9659444)
146,"2007",4,Río Nechí,180,7.4750000,-74.9208333,San Juan de Nechí,mauricioTesting,n_2007_analog,27037030,LG,{},false,80,32,441,7,8,POINT (-74.9208333 7.475)
148,"2009",4,Río Nare,1274,6.2760833,-74.6733056,Canteras,mauricioTesting,n_2009_analog,23087210,LG,{},false,23,5,27,2,8,POINT (-74.6733056 6.2760833)
228,"4002",7,Río Cauca,81,7.5840828,-75.3486670,"","","",,"",{},false,19,21,,7,49,POINT (-75.348667 7.5840828)
225,"4001",7,Río Cauca,608,5.7455280,-75.6064170,"","","",,"",{},false,46,16,,6,49,POINT (-75.606417 5.745528)
141,"2002",4,Río Cauca,1870,5.7307222,-75.6081111,La pintada,mauricioTesting,n_2002_analog,26187110,LG,{},false,46,13,68,6,8,POINT (-75.6081111 5.7307222)
136,"1046",2,Don Matías - Quebrada Iborra - Peaje,2147,6.4743410,-75.3761410,"",mauricioTesting,n_1046_analog,,"","{apoyogestioninformacion3piragua@udea.edu.co,personeria@donmatias-antioquia.gov.co,bomberosdonmatias19@gmail.com,planeacion@donmatias-antioquia.gov.co}",false,30,25,389,3,10,POINT (-75.376141 6.474341)
